Donor,Panel,Instrument,File name
d011,Sort,Aria,"Compensation Controls_405-610,2f,20 Stained Control_007.fcs"
d011,Sort,Aria,"Compensation Controls_405-660,2f,20 Stained Control_008.fcs"
d011,Sort,Aria,"Compensation Controls_488-530,2f,30 Stained Control_004.fcs"
d011,Sort,Aria,"Compensation Controls_561-610,2f,20 Stained Control_005.fcs"
d011,Sort,Aria,"Compensation Controls_633-660,2f,20 Stained Control_002.fcs"
d011,Sort,Aria,"Compensation Controls_633-780,2f,60 Stained Control_003.fcs"
d011,Sort,Aria,Specimen_002_FNA_010.fcs
d011,Sort,Aria,Specimen_002_PBMC_009.fcs
d013,B-cell,Attune,FNA_013_17072017_B_cell_panel_B PANEL_FNA_bottom.fcs
d013,B-cell,Attune,FNA_013_17072017_B_cell_panel_B PANEL_FNA_top.fcs
d013,B-cell,Attune,FNA_013_17072017_B_cell_panel_B PANEL_PBMC.fcs
d013,B-cell,Attune,FNA_013_17072017_B_cell_panel_Compensation_BL1-A.fcs
d013,B-cell,Attune,FNA_013_17072017_B_cell_panel_Compensation_RL1-A.fcs
d013,B-cell,Attune,FNA_013_17072017_B_cell_panel_Compensation_RL2-A.fcs
d013,B-cell,Attune,FNA_013_17072017_B_cell_panel_Compensation_RL3-A.fcs
d013,B-cell,Attune,FNA_013_17072017_B_cell_panel_Compensation_VL1-A.fcs
d013,B-cell,Attune,FNA_013_17072017_B_cell_panel_Compensation_VL2-A.fcs
d013,B-cell,Attune,FNA_013_17072017_B_cell_panel_Compensation_VL3-A.fcs
d013,B-cell,Attune,FNA_013_17072017_B_cell_panel_Compensation_VL4-A.fcs
d013,B-cell,Attune,FNA_013_17072017_B_cell_panel_Compensation_YL1-A.fcs
d013,B-cell,Attune,FNA_013_17072017_B_cell_panel_Compensation_YL2-A.fcs
d013,B-cell,Attune,FNA_013_17072017_B_cell_panel_Compensation_YL4-A.fcs
d014,B-cell,Attune,FNA_014_26072017_B_cell_panel_B PANEL_FNA.fcs
d014,B-cell,Attune,FNA_014_26072017_B_cell_panel_B PANEL_PBMC.fcs
d014,B-cell,Attune,FNA_014_26072017_B_cell_panel_Compensation_BL1-A.fcs
d014,B-cell,Attune,FNA_014_26072017_B_cell_panel_Compensation_RL1-A.fcs
d014,B-cell,Attune,FNA_014_26072017_B_cell_panel_Compensation_RL2-A.fcs
d014,B-cell,Attune,FNA_014_26072017_B_cell_panel_Compensation_RL3-A.fcs
d014,B-cell,Attune,FNA_014_26072017_B_cell_panel_Compensation_VL1-A.fcs
d014,B-cell,Attune,FNA_014_26072017_B_cell_panel_Compensation_VL2-A.fcs
d014,B-cell,Attune,FNA_014_26072017_B_cell_panel_Compensation_VL3-A.fcs
d014,B-cell,Attune,FNA_014_26072017_B_cell_panel_Compensation_VL4-A.fcs
d014,B-cell,Attune,FNA_014_26072017_B_cell_panel_Compensation_YL1-A.fcs
d014,B-cell,Attune,FNA_014_26072017_B_cell_panel_Compensation_YL2-A.fcs
d014,B-cell,Attune,FNA_014_26072017_B_cell_panel_Compensation_YL4-A.fcs
d014,Sort,Aria,"Compensation Controls_405-450,2f,50 Stained Control_006.fcs"
d014,Sort,Aria,"Compensation Controls_405-610,2f,20 Stained Control_007.fcs"
d014,Sort,Aria,"Compensation Controls_405-660,2f,20 Stained Control_008.fcs"
d014,Sort,Aria,"Compensation Controls_488-530,2f,30 Stained Control_004.fcs"
d014,Sort,Aria,"Compensation Controls_561-610,2f,20 Stained Control_005.fcs"
d014,Sort,Aria,"Compensation Controls_561-780,2f,60 Stained Control_009.fcs"
d014,Sort,Aria,"Compensation Controls_633-660,2f,20 Stained Control_002.fcs"
d014,Sort,Aria,"Compensation Controls_633-780,2f,60 Stained Control_003.fcs"
d014,Sort,Aria,Specimen_002_FNA_010.fcs
d014,Sort,Aria,Specimen_002_PBMC_011.fcs
d017,Sort,Aria,"Compensation Controls_405-450,2f,50 Stained Control_005.fcs"
d017,Sort,Aria,"Compensation Controls_405-610,2f,20 Stained Control_006.fcs"
d017,Sort,Aria,"Compensation Controls_405-660,2f,20 Stained Control_007.fcs"
d017,Sort,Aria,"Compensation Controls_488-530,2f,30 Stained Control_003.fcs"
d017,Sort,Aria,"Compensation Controls_561-585,2f,15 Stained Control_009.fcs"
